Code,Title,Season,Rating Mean,Episode Max,Rating,Rating Count,Rank
tt0081912,Only Fools and Horses....,7,8.672727272727274,11,8.8,"40,452",40
tt5555260,This Is Us,3,8.672222222222224,18,8.6,"75,959",100
tt4786824,The Crown,1,8.67,10,8.6,"81,150",88
tt2861424,Rick and Morty,3,8.669999999999998,10,9.2,"264,529",11
tt2707408,Narcos,3,8.669999999999998,10,8.8,"289,434",49
tt0804503,Mad Men,5,8.669230769230767,13,8.6,"179,094",116
tt1439629,Community,3,8.66818181818182,22,8.5,"173,798",206
tt0129690,I'm Alan Partridge,1,8.666666666666666,6,8.5,"16,531",196
tt0108778,Friends,5,8.6625,24,8.8,"665,928",39
tt0098936,Twin Peaks,1,8.6625,8,8.8,"153,103",47
tt2243973,Hannibal,1,8.661538461538463,13,8.5,"201,191",186
tt0074006,"I, Claudius",1,8.661538461538463,13,8.8,"14,072",52
tt2937900,The Knick,2,8.66,10,8.5,"38,986",200
tt1831164,Leyla ile Mecnun,1,8.659999999999998,20,8.6,"83,028",132
tt0303461,Firefly,1,8.657142857142858,14,9.0,"224,702",23
tt1489428,Justified,4,8.653846153846153,13,8.5,"76,628",139
tt0096639,Lonesome Dove,1,8.65,4,8.7,"18,405",78
tt0979432,Boardwalk Empire,3,8.646153846153847,13,8.5,"158,954",145
tt0412142,House M.D.,3,8.645833333333334,24,8.7,"373,151",71
tt1606375,Downton Abbey,6,8.644444444444444,9,8.6,"141,133",93
tt0200276,The West Wing,2,8.640909090909092,22,8.7,"55,688",67
tt0264235,Curb Your Enthusiasm,7,8.639999999999999,10,8.7,"84,579",69
tt1489428,Justified,5,8.63846153846154,13,8.5,"76,628",139
tt1806234,Human Planet,1,8.637500000000001,8,9.0,"20,397",20
tt1439629,Community,2,8.637499999999998,24,8.5,"173,798",206
tt0182629,Rurouni Kenshin: Wandering Samurai,2,8.637142857142855,35,8.4,"15,487",208
tt0098904,Seinfeld,8,8.636363636363637,22,8.8,"223,002",42
tt0979432,Boardwalk Empire,2,8.633333333333335,12,8.5,"158,954",145
tt4082744,Detectorists,3,8.633333333333333,6,8.5,"7,994",201
tt5675620,The Punisher,2,8.630769230769234,13,8.5,"146,061",153
tt1266020,Parks and Recreation,7,8.630769230769232,13,8.6,"174,637",106
tt3230854,The Expanse,2,8.63076923076923,13,8.3,"68,988",239
tt5834204,The Handmaid's Tale,2,8.63076923076923,13,8.5,"113,953",182
tt0185906,Band of Brothers,1,8.63,10,9.4,"314,596",2
tt0121955,South Park,8,8.62857142857143,14,8.7,"298,965",70
tt0098904,Seinfeld,7,8.627272727272727,22,8.8,"223,002",42
tt0118421,Oz,4,8.625,16,8.7,"81,050",64
tt1474684,Luther,2,8.625,4,8.5,"104,721",192
tt0412142,House M.D.,5,8.620833333333334,24,8.7,"373,151",71
tt0384766,Rome,2,8.620000000000001,10,8.7,"139,845",62
tt0129690,I'm Alan Partridge,2,8.616666666666667,6,8.5,"16,531",196
tt0387199,Entourage,3,8.614999999999998,20,8.4,"151,374",233
tt3920596,Big Little Lies,1,8.614285714285714,7,8.5,"100,830",147
tt0118421,Oz,1,8.6125,8,8.7,"81,050",64
tt4270492,Billions,4,8.61111111111111,9,8.3,"53,610",245
tt2802850,Fargo,3,8.610000000000001,10,8.9,"269,673",26
tt0348914,Deadwood,3,8.608333333333334,12,8.7,"81,885",82
tt0348914,Deadwood,2,8.608333333333334,12,8.7,"81,885",82
tt0773262,Dexter,3,8.608333333333334,12,8.6,"594,550",95
tt0412142,House M.D.,2,8.608333333333333,24,8.7,"373,151",71
tt0412142,House M.D.,6,8.604761904761903,21,8.7,"373,151",71
tt0098904,Seinfeld,4,8.604347826086956,23,8.8,"223,002",42
tt0098769,The Civil War,1,8.600000000000001,9,9.0,"10,749",22
tt0264235,Curb Your Enthusiasm,6,8.600000000000001,10,8.7,"84,579",69
tt4189022,Ash vs Evil Dead,1,8.600000000000001,10,8.5,"56,307",204
tt1586680,Shameless,2,8.600000000000001,12,8.6,"169,404",119
tt0386676,The Office,4,8.600000000000001,14,8.8,"292,705",51
tt7078180,Violet Evergarden,1,8.6,14,8.3,"5,058",248
tt5425186,Horace and Pete,1,8.6,10,8.5,"12,912",187
tt2297757,Nathan for You,1,8.6,8,8.7,"13,631",68
tt2303687,Line of Duty,2,8.6,6,8.5,"19,206",142
tt0387764,Peep Show,4,8.6,6,8.6,"45,477",129
tt5712554,The Grand Tour,3,8.592857142857143,14,8.6,"53,552",104
tt2149175,The Americans,4,8.592307692307692,13,8.3,"72,542",249
tt4270492,Billions,2,8.591666666666667,12,8.3,"53,610",245
tt4189022,Ash vs Evil Dead,2,8.59,10,8.5,"56,307",204
tt3718778,Over the Garden Wall,1,8.59,10,8.8,"27,812",48
tt5753856,Dark,1,8.59,10,8.5,"100,580",148
tt0118421,Oz,5,8.5875,8,8.7,"81,050",64
tt0118421,Oz,6,8.5875,8,8.7,"81,050",64
tt0098904,Seinfeld,5,8.585714285714285,21,8.8,"223,002",42
tt1586680,Shameless,1,8.583333333333334,12,8.6,"169,404",119
tt4093826,Twin Peaks,1,8.583333333333334,18,8.5,"42,518",188
tt2049116,Gomorra: La serie,4,8.583333333333334,12,8.6,"21,903",111
tt1266020,Parks and Recreation,3,8.581249999999999,16,8.6,"174,637",106
tt8714904,Narcos: Mexico,1,8.58,10,8.4,"31,025",217
tt4574334,Stranger Things,2,8.577777777777778,9,8.8,"582,749",43
tt0200276,The West Wing,1,8.577272727272728,22,8.7,"55,688",67
tt1856010,House of Cards,3,8.576923076923077,13,8.8,"427,947",54
tt4270492,Billions,3,8.575000000000001,12,8.3,"53,610",245
tt0098825,House of Cards,1,8.575,4,8.5,"11,998",193
tt0979432,Boardwalk Empire,4,8.575,12,8.5,"158,954",145
tt0386676,The Office,3,8.573913043478258,23,8.8,"292,705",51
tt0080297,Tinker Tailor Soldier Spy,1,8.571428571428571,7,8.5,"6,782",195
tt1533395,Life,1,8.570000000000002,10,9.1,"33,824",16
tt0417373,The Venture Bros.,3,8.56923076923077,13,8.4,"21,798",209
tt7259746,Queer Eye,3,8.5625,8,8.3,"9,774",238
tt0417373,The Venture Bros.,2,8.561538461538463,13,8.4,"21,798",209
tt6025022,Justice League Unlimited,2,8.56153846153846,13,8.7,"5,242",60
tt0758745,Friday Night Lights,5,8.56153846153846,13,8.6,"50,820",126
tt2937900,The Knick,1,8.559999999999999,10,8.5,"38,986",200
tt0412142,House M.D.,1,8.55909090909091,22,8.7,"373,151",71
tt1831164,Leyla ile Mecnun,2,8.556097560975605,41,8.6,"83,028",132
tt1856010,House of Cards,1,8.553846153846154,13,8.8,"427,947",54
tt6468322,Money Heist,1,8.553333333333335,15,8.5,"124,217",181
tt1305826,Adventure Time,8,8.550000000000002,14,8.5,"65,279",146
tt0080306,Yes Minister,3,8.55,8,8.5,"10,587",135
tt2306299,Vikings,2,8.55,10,8.5,"335,628",174
tt0118421,Oz,3,8.55,8,8.7,"81,050",64
tt3428912,Happy Valley,2,8.549999999999999,6,8.4,"27,564",219
tt1632701,Suits,1,8.549999999999999,12,8.4,"324,466",226
tt6478318,Masum,1,8.549999999999999,8,8.5,"8,080",177
tt0387199,Entourage,5,8.549999999999999,12,8.4,"151,374",233
tt0108778,Friends,6,8.548,25,8.8,"665,928",39
tt0995832,Generation Kill,1,8.542857142857144,7,8.5,"42,581",141
tt1695360,The Legend of Korra,2,8.542857142857143,14,8.4,"85,000",216
tt0121955,South Park,11,8.542857142857143,14,8.7,"298,965",70
tt0387199,Entourage,2,8.542857142857143,14,8.4,"151,374",233
tt0264235,Curb Your Enthusiasm,9,8.540000000000001,10,8.7,"84,579",69
tt2433738,Wentworth,1,8.54,10,8.5,"14,125",205
tt0994314,Kôdo giasu: Hangyaku no rurûshu,2,8.54,25,8.6,"39,815",112
tt2149175,The Americans,3,8.538461538461538,13,8.3,"72,542",249
tt0758745,Friday Night Lights,4,8.538461538461538,13,8.6,"50,820",126
tt5555260,This Is Us,2,8.533333333333335,18,8.6,"75,959",100
tt3428912,Happy Valley,1,8.533333333333333,6,8.4,"27,564",219
tt1831164,Leyla ile Mecnun,3,8.53255813953488,43,8.6,"83,028",132
tt5834204,The Handmaid's Tale,1,8.53,10,8.5,"113,953",182
tt0472954,It's Always Sunny in Philadelphia,12,8.53,10,8.7,"169,562",63
tt1606375,Downton Abbey,1,8.528571428571428,7,8.6,"141,133",93
tt0187664,Spaced,2,8.528571428571428,7,8.6,"46,193",118
tt0108778,Friends,4,8.525000000000002,24,8.8,"665,928",39
tt0319969,Carnivàle,2,8.525,12,8.4,"40,047",222
tt1870479,The Newsroom,1,8.52,10,8.5,"95,364",138
tt2306299,Vikings,3,8.52,10,8.5,"335,628",174
tt0417373,The Venture Bros.,4,8.51764705882353,17,8.4,"21,798",209
tt2100976,Impractical Jokers,3,8.515625000000002,32,8.5,"27,702",175
tt0804503,Mad Men,3,8.515384615384615,13,8.6,"179,094",116
tt1439629,Community,5,8.515384615384615,13,8.5,"173,798",206
tt0106028,Homicide: Life on the Street,6,8.513043478260872,23,8.5,"10,479",156
tt1606375,Downton Abbey,2,8.511111111111111,9,8.6,"141,133",93
tt2861424,Rick and Morty,2,8.51,10,9.2,"264,529",11
tt0111958,Father Ted,2,8.50909090909091,11,8.6,"32,737",130
tt1124373,Sons of Anarchy,3,8.507692307692308,13,8.5,"229,299",194
tt2100976,Impractical Jokers,2,8.50357142857143,28,8.5,"27,702",175
tt0098833,Jeeves and Wooster,2,8.5,6,8.3,"10,948",242
tt0106028,Homicide: Life on the Street,2,8.5,4,8.5,"10,479",156
tt1305826,Adventure Time,9,8.5,14,8.5,"65,279",146
tt0386676,The Office,5,8.496153846153847,26,8.8,"292,705",51
tt0121955,South Park,6,8.494117647058824,17,8.7,"298,965",70
tt5249462,Boku dake ga inai machi,1,8.491666666666665,12,8.5,"16,057",183
tt0264235,Curb Your Enthusiasm,2,8.489999999999998,10,8.7,"84,579",69
tt4288182,Atlanta,1,8.489999999999998,10,8.6,"38,677",114
tt0417373,The Venture Bros.,5,8.488888888888887,9,8.4,"21,798",209
tt2356777,True Detective,3,8.4875,8,9.0,"437,339",25
tt5788792,The Marvelous Mrs. Maisel,1,8.4875,8,8.7,"42,588",72
tt0108778,Friends,2,8.487499999999999,24,8.8,"665,928",39
tt0098904,Seinfeld,9,8.486363636363633,22,8.8,"223,002",42
tt1474684,Luther,1,8.485714285714286,7,8.5,"104,721",192
tt2384811,Utopia,1,8.483333333333334,6,8.4,"35,230",227
tt0384766,Rome,1,8.483333333333333,12,8.7,"139,845",62
tt0348914,Deadwood,1,8.483333333333333,12,8.7,"81,885",82
tt0108778,Friends,8,8.483333333333333,24,8.8,"665,928",39
tt0275137,Justice League,2,8.48076923076923,26,8.5,"36,303",134
tt2575988,Silicon Valley,2,8.48,10,8.5,"102,106",170
tt0264235,Curb Your Enthusiasm,3,8.48,10,8.7,"84,579",69
tt0264235,Curb Your Enthusiasm,4,8.48,10,8.7,"84,579",69
tt0108778,Friends,7,8.479166666666666,24,8.8,"665,928",39
tt1119644,Fringe,3,8.47272727272727,22,8.3,"206,035",244
tt0264235,Curb Your Enthusiasm,8,8.47,10,8.7,"84,579",69
tt4299972,The Jinx: The Life and Deaths of Robert Durst,1,8.466666666666667,6,8.7,"32,979",79
tt0367279,Arrested Development,1,8.463636363636363,22,8.8,"254,511",45
tt2861424,Rick and Morty,1,8.463636363636363,11,9.2,"264,529",11
tt1865718,Gravity Falls,1,8.459999999999999,20,8.8,"51,899",46
tt2701582,Endeavour,1,8.459999999999999,5,8.5,"14,032",191
tt2100976,Impractical Jokers,1,8.458823529411765,17,8.5,"27,702",175
tt0387199,Entourage,4,8.458333333333334,12,8.4,"151,374",233
tt1586680,Shameless,8,8.45833333333333,12,8.6,"169,404",119
tt1492966,Louie,4,8.457142857142857,14,8.5,"70,287",157
tt1870479,The Newsroom,2,8.455555555555556,9,8.5,"95,364",138
tt1124373,Sons of Anarchy,1,8.453846153846154,13,8.5,"229,299",194
tt0108778,Friends,3,8.451999999999998,25,8.8,"665,928",39
tt0088484,Blackadder II,1,8.450000000000001,6,8.6,"38,467",98
tt0092324,Blackadder the Third,1,8.450000000000001,6,8.6,"36,864",110
tt5288312,Skam,4,8.45,10,8.6,"23,011",127
tt0081912,Only Fools and Horses....,4,8.45,8,8.8,"40,452",40
tt2467372,Brooklyn Nine-Nine,5,8.445454545454545,22,8.3,"145,746",240
tt0121955,South Park,5,8.442857142857143,14,8.7,"298,965",70
tt0863046,Flight of the Conchords,1,8.441666666666666,12,8.5,"50,663",136
tt0979432,Boardwalk Empire,1,8.441666666666666,12,8.5,"158,954",145
tt2306299,Vikings,4,8.44,20,8.5,"335,628",174
tt0386676,The Office,2,8.436363636363636,22,8.8,"292,705",51
tt0758745,Friday Night Lights,3,8.430769230769231,13,8.6,"50,820",126
tt0472954,It's Always Sunny in Philadelphia,4,8.430769230769231,13,8.7,"169,562",63
tt5290382,Mindhunter,1,8.43,10,8.5,"117,949",166
tt0472954,It's Always Sunny in Philadelphia,2,8.43,10,8.7,"169,562",63
tt0081912,Only Fools and Horses....,3,8.425,8,8.8,"40,452",40
tt2528254,This Is England '90,1,8.425,4,8.5,"5,208",203
tt1492966,Louie,5,8.425,8,8.5,"70,287",157
tt2049116,Gomorra: La serie,1,8.424999999999999,12,8.6,"21,903",111
tt2575988,Silicon Valley,3,8.419999999999998,10,8.5,"102,106",170
tt0098904,Seinfeld,6,8.417391304347827,23,8.8,"223,002",42
tt0412142,House M.D.,7,8.417391304347827,23,8.7,"373,151",71
tt0362192,State of Play,1,8.416666666666666,6,8.4,"8,603",234
tt0248654,Six Feet Under,5,8.416666666666666,12,8.6,"109,974",86
tt1305826,Adventure Time,10,8.415384615384614,13,8.5,"65,279",146
tt0472954,It's Always Sunny in Philadelphia,3,8.413333333333332,15,8.7,"169,562",63
tt0086831,"Yes, Prime Minister",2,8.412500000000001,8,8.5,"7,973",151
tt1606375,Downton Abbey,5,8.411111111111111,9,8.6,"141,133",93
tt0081912,Only Fools and Horses....,5,8.41111111111111,9,8.8,"40,452",40
tt0264235,Curb Your Enthusiasm,5,8.41,10,8.7,"84,579",69
tt0141842,The Sopranos,4,8.407692307692308,13,9.1,"249,831",13
tt0121955,South Park,7,8.406666666666666,15,8.7,"298,965",70
tt1632701,Suits,7,8.40625,16,8.4,"324,466",226
tt1266020,Parks and Recreation,4,8.404545454545454,22,8.6,"174,637",106
tt1119644,Fringe,4,8.404545454545453,22,8.3,"206,035",244
tt0081912,Only Fools and Horses....,2,8.4,8,8.8,"40,452",40
tt0459159,The Thick of It,3,8.4,8,8.6,"17,211",85
tt0098904,Seinfeld,3,8.4,23,8.8,"223,002",42
tt2701582,Endeavour,5,8.399999999999999,6,8.5,"14,032",191
tt3398228,BoJack Horseman,4,8.399999999999999,12,8.5,"68,976",176
tt1439629,Community,1,8.399999999999999,25,8.5,"173,798",206
tt0096697,The Simpsons,5,8.395454545454543,22,8.7,"331,355",65
tt1856010,House of Cards,5,8.392307692307693,13,8.8,"427,947",54
