Key,Title,Season,Rating Mean,Number of Episodes
tt0098904,Seinfeld,3,8.4,23
tt2701582,Endeavour,5,8.399999999999999,6
tt3398228,BoJack Horseman,4,8.399999999999999,12
tt1439629,Community,1,8.399999999999999,25
tt0096697,The Simpsons,5,8.395454545454543,22
tt1856010,House of Cards,5,8.392307692307693,13
tt0096697,The Simpsons,7,8.392000000000001,25
tt0306414,The Wire,3,8.391666666666664,12
tt1606375,Downton Abbey,3,8.38888888888889,9
tt0096697,The Simpsons,6,8.388,25
tt0121955,South Park,9,8.385714285714288,14
tt1586680,Shameless,9,8.385714285714286,14
tt4295140,Chef's Table,2,8.383333333333333,6
tt0083390,Brideshead Revisited,1,8.381818181818183,11
tt0161952,Seinto Seiya,2,8.380769230769234,26
tt5189670,Making a Murderer,2,8.379999999999999,10
tt0436992,Doctor Who,4,8.378571428571428,14
tt1119644,Fringe,2,8.378260869565219,23
tt0804503,Mad Men,6,8.376923076923077,13
tt0063929,Monty Python's Flying Circus,2,8.376923076923076,13
tt0248654,Six Feet Under,1,8.376923076923076,13
tt4270492,Billions,1,8.375000000000002,12
tt7767422,Sex Education,1,8.375,8
tt0106179,The X-Files,6,8.372727272727273,22
tt0108778,Friends,1,8.370833333333332,24
tt0417299,Avatar: The Last Airbender,1,8.37,20
tt2149175,The Americans,2,8.36923076923077,13
tt0472954,It's Always Sunny in Philadelphia,5,8.366666666666667,12
tt0487831,The IT Crowd,2,8.366666666666667,6
tt2049116,Gomorra: La serie,3,8.366666666666665,12
tt2049116,Gomorra: La serie,2,8.366666666666665,12
tt0306414,The Wire,4,8.36153846153846,13
tt0863046,Flight of the Conchords,2,8.360000000000001,10
tt2100976,Impractical Jokers,5,8.359259259259263,27
tt4082744,Detectorists,2,8.357142857142858,7
tt0412142,House M.D.,8,8.354545454545454,22
tt1492966,Louie,3,8.353846153846154,13
tt2149175,The Americans,1,8.353846153846153,13
tt1733785,Bron/Broen,4,8.350000000000001,8
tt1475582,Sherlock,4,8.35,4
tt0407362,Battlestar Galactica,4,8.35,20
tt5189670,Making a Murderer,1,8.35,10
tt0773262,Dexter,6,8.35,12
tt0290978,The Office,1,8.35,6
tt2701582,Endeavour,3,8.35,4
tt0106179,The X-Files,5,8.344999999999999,20
tt0472027,John Adams,1,8.342857142857143,7
tt0278238,Samurai Jack,3,8.338461538461539,13
tt1489428,Justified,1,8.338461538461539,13
tt1305826,Adventure Time,7,8.338461538461539,39
tt2100976,Impractical Jokers,6,8.338461538461535,26
tt0108778,Friends,9,8.337499999999997,24
tt0459159,The Thick of It,2,8.333333333333334,3
tt7920978,Sahsiyet,1,8.333333333333334,12
tt0200276,The West Wing,7,8.331818181818182,22
tt0096697,The Simpsons,4,8.331818181818182,22
tt0278238,Samurai Jack,1,8.330769230769231,13
tt5712554,The Grand Tour,2,8.327272727272726,11
tt1494191,The Untold History of the United States,1,8.325,12
tt2575988,Silicon Valley,1,8.325,8
tt0306414,The Wire,1,8.323076923076922,13
tt1266020,Parks and Recreation,5,8.322727272727274,22
tt0121955,South Park,10,8.321428571428573,14
tt3530232,Last Week Tonight with John Oliver,4,8.316666666666668,30
tt2085059,Black Mirror,3,8.316666666666666,6
tt4082744,Detectorists,1,8.316666666666666,6
tt0387764,Peep Show,7,8.316666666666666,6
tt0386676,The Office,7,8.312500000000002,24
tt0306414,The Wire,5,8.309999999999999,10
tt1733785,Bron/Broen,3,8.309999999999999,10
tt2244495,The Eric Andre Show,2,8.309999999999999,10
tt0098936,Twin Peaks,2,8.309090909090909,22
tt2244495,The Eric Andre Show,1,8.309090909090909,11
tt0804503,Mad Men,2,8.307692307692307,13
tt1230180,The Angry Video Game Nerd,2,8.304545454545455,22
tt0080306,Yes Minister,2,8.3,7
tt6468322,Money Heist,2,8.3,2
tt0200276,The West Wing,3,8.299999999999999,22
tt0112130,Pride and Prejudice,1,8.299999999999999,6
tt1486217,Archer,7,8.290000000000001,10
